Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,11,0.31,0.61,0.4166096572567301
100% Corpus,11,0.31,0.9099999999999999,0.40660741299977676
100% Corpus,11,0.31,symmetric,0.4470535222457946
100% Corpus,11,0.61,0.01,0.43787746681690914
100% Corpus,11,0.61,0.31,0.4420447945079397
100% Corpus,11,0.61,0.61,0.42234591461664495
100% Corpus,11,0.61,0.9099999999999999,0.3907106145304033
100% Corpus,11,0.61,symmetric,0.44074344248884584
100% Corpus,11,0.9099999999999999,0.01,0.4552125423624194
100% Corpus,11,0.9099999999999999,0.31,0.4426389309950196
100% Corpus,11,0.9099999999999999,0.61,0.44706254605978124
100% Corpus,11,0.9099999999999999,0.9099999999999999,0.3896127591690178
100% Corpus,11,0.9099999999999999,symmetric,0.4580128838182807
100% Corpus,11,symmetric,0.01,0.43671481254745265
100% Corpus,11,symmetric,0.31,0.4451292969460901
100% Corpus,11,symmetric,0.61,0.4570133805893902
100% Corpus,11,symmetric,0.9099999999999999,0.4419198960081412
100% Corpus,11,symmetric,symmetric,0.44320574088722786
100% Corpus,11,asymmetric,0.01,0.41567698073839077
100% Corpus,11,asymmetric,0.31,0.4120639167983813
100% Corpus,11,asymmetric,0.61,0.4599377334536275
100% Corpus,11,asymmetric,0.9099999999999999,0.4269008422471254
100% Corpus,11,asymmetric,symmetric,0.42034894823681107
100% Corpus,12,0.01,0.01,0.44771200920039295
100% Corpus,12,0.01,0.31,0.47755299129535506
100% Corpus,12,0.01,0.61,0.4521449607901471
100% Corpus,12,0.01,0.9099999999999999,0.4320148494644566
100% Corpus,12,0.01,symmetric,0.4247281709500624
100% Corpus,12,0.31,0.01,0.44688037908732
100% Corpus,12,0.31,0.31,0.42676615491582487
100% Corpus,12,0.31,0.61,0.40942806030915424
100% Corpus,12,0.31,0.9099999999999999,0.38575214742883457
100% Corpus,12,0.31,symmetric,0.43043943552421093
100% Corpus,12,0.61,0.01,0.4600671346534963
100% Corpus,12,0.61,0.31,0.4606486282026272
100% Corpus,12,0.61,0.61,0.42872491790361716
100% Corpus,12,0.61,0.9099999999999999,0.4070545109333508
100% Corpus,12,0.61,symmetric,0.44169696675409154
100% Corpus,12,0.9099999999999999,0.01,0.46564280449714585
100% Corpus,12,0.9099999999999999,0.31,0.45806684078287635
100% Corpus,12,0.9099999999999999,0.61,0.4630582429271475
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.43251200044180527
100% Corpus,12,0.9099999999999999,symmetric,0.46058039191121797
100% Corpus,12,symmetric,0.01,0.45347353554524167
100% Corpus,12,symmetric,0.31,0.4472716701934408
100% Corpus,12,symmetric,0.61,0.465445731871941
100% Corpus,12,symmetric,0.9099999999999999,0.41203914755238896
100% Corpus,12,symmetric,symmetric,0.4279189546083742
100% Corpus,12,asymmetric,0.01,0.4451815982750362
100% Corpus,12,asymmetric,0.31,0.4910716061223393
100% Corpus,12,asymmetric,0.61,0.48044024670971375
100% Corpus,12,asymmetric,0.9099999999999999,0.428325167239636
100% Corpus,12,asymmetric,symmetric,0.443385316843172
100% Corpus,13,0.01,0.01,0.4571622313929734
100% Corpus,13,0.01,0.31,0.4451668095726008
100% Corpus,13,0.01,0.61,0.4719932754272506
100% Corpus,13,0.01,0.9099999999999999,0.4018422866847699
100% Corpus,13,0.01,symmetric,0.45113343872386624
100% Corpus,13,0.31,0.01,0.447285533044437
100% Corpus,13,0.31,0.31,0.4720005960739444
100% Corpus,13,0.31,0.61,0.4674042351300293
100% Corpus,13,0.31,0.9099999999999999,0.3879561707753457
100% Corpus,13,0.31,symmetric,0.44478332005256543
100% Corpus,13,0.61,0.01,0.46050484955395177
100% Corpus,13,0.61,0.31,0.4519664470500038
100% Corpus,13,0.61,0.61,0.42144648665828577
100% Corpus,13,0.61,0.9099999999999999,0.38355696498179886
100% Corpus,13,0.61,symmetric,0.44235546810376025
100% Corpus,13,0.9099999999999999,0.01,0.45126217690378295
100% Corpus,13,0.9099999999999999,0.31,0.4559776723417611
100% Corpus,13,0.9099999999999999,0.61,0.42912964723554153
100% Corpus,13,0.9099999999999999,0.9099999999999999,0.4934558367601243
100% Corpus,13,0.9099999999999999,symmetric,0.44784897099780446
100% Corpus,13,symmetric,0.01,0.45697632481076855
100% Corpus,13,symmetric,0.31,0.44629696234580535
100% Corpus,13,symmetric,0.61,0.47785185793085816
100% Corpus,13,symmetric,0.9099999999999999,0.41603559279261726
100% Corpus,13,symmetric,symmetric,0.45115989021732
100% Corpus,13,asymmetric,0.01,0.4587222815780583
100% Corpus,13,asymmetric,0.31,0.47729438697800675
100% Corpus,13,asymmetric,0.61,0.46489244732849466
100% Corpus,13,asymmetric,0.9099999999999999,0.46686740322996295
100% Corpus,13,asymmetric,symmetric,0.42896969296775517
100% Corpus,14,0.01,0.01,0.4391804646829166
100% Corpus,14,0.01,0.31,0.48510761179420037
100% Corpus,14,0.01,0.61,0.4505500249477722
100% Corpus,14,0.01,0.9099999999999999,0.5184426029164029
100% Corpus,14,0.01,symmetric,0.45568656014464937
100% Corpus,14,0.31,0.01,0.4519603534017533
100% Corpus,14,0.31,0.31,0.48707382364228613
100% Corpus,14,0.31,0.61,0.42184307214569744
100% Corpus,14,0.31,0.9099999999999999,0.40830961267022536
100% Corpus,14,0.31,symmetric,0.4505440108296243
100% Corpus,14,0.61,0.01,0.458115517665679
100% Corpus,14,0.61,0.31,0.4450323585188482
100% Corpus,14,0.61,0.61,0.398072249286564
100% Corpus,14,0.61,0.9099999999999999,0.43492292920445547
100% Corpus,14,0.61,symmetric,0.44688410984260474
100% Corpus,14,0.9099999999999999,0.01,0.46196842228437063
100% Corpus,14,0.9099999999999999,0.31,0.4536244358304038
100% Corpus,14,0.9099999999999999,0.61,0.4023995652896251
100% Corpus,14,0.9099999999999999,0.9099999999999999,0.5641820041551314
100% Corpus,14,0.9099999999999999,symmetric,0.46018101497027064
100% Corpus,14,symmetric,0.01,0.44398318624035565
100% Corpus,14,symmetric,0.31,0.47953127061025996
100% Corpus,14,symmetric,0.61,0.45094983838026526
100% Corpus,14,symmetric,0.9099999999999999,0.5299945833317732
100% Corpus,14,symmetric,symmetric,0.453163154456802
100% Corpus,14,asymmetric,0.01,0.4419790974718926
100% Corpus,14,asymmetric,0.31,0.4867107689094253
100% Corpus,14,asymmetric,0.61,0.47320404606515204
100% Corpus,14,asymmetric,0.9099999999999999,0.39483611345830366
100% Corpus,14,asymmetric,symmetric,0.4614568681232915
100% Corpus,15,0.01,0.01,0.45461118030115294
100% Corpus,15,0.01,0.31,0.5003528362132468
100% Corpus,15,0.01,0.61,0.4208071700644553
100% Corpus,15,0.01,0.9099999999999999,0.41291714610364244
100% Corpus,15,0.01,symmetric,0.46665645262893907
100% Corpus,15,0.31,0.01,0.45248511271623737
100% Corpus,15,0.31,0.31,0.5063247812966358
100% Corpus,15,0.31,0.61,0.4163970502749709
100% Corpus,15,0.31,0.9099999999999999,0.45250106442783655
100% Corpus,15,0.31,symmetric,0.46438202525304806
100% Corpus,15,0.61,0.01,0.4776284975465268
100% Corpus,15,0.61,0.31,0.4691009561530744
100% Corpus,15,0.61,0.61,0.3801606009526729
100% Corpus,15,0.61,0.9099999999999999,0.4454386009730918
100% Corpus,15,0.61,symmetric,0.46371362744116396
100% Corpus,15,0.9099999999999999,0.01,0.48163317242162634
100% Corpus,15,0.9099999999999999,0.31,0.4743232339836459
100% Corpus,15,0.9099999999999999,0.61,0.35272238166936315
100% Corpus,15,0.9099999999999999,0.9099999999999999,0.4703583464056884
100% Corpus,15,0.9099999999999999,symmetric,0.47306395359463926
100% Corpus,15,symmetric,0.01,0.45203015161801885
100% Corpus,15,symmetric,0.31,0.5060041208394896
100% Corpus,15,symmetric,0.61,0.4017181251918746
100% Corpus,15,symmetric,0.9099999999999999,0.4338569361582783
100% Corpus,15,symmetric,symmetric,0.45794823829007175
100% Corpus,15,asymmetric,0.01,0.44524515836113776
100% Corpus,15,asymmetric,0.31,0.48911299715013895
100% Corpus,15,asymmetric,0.61,0.43679866233189724
100% Corpus,15,asymmetric,0.9099999999999999,0.4043106647148605
100% Corpus,15,asymmetric,symmetric,0.4346786706733024
